ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"11","Computer and Information Sciences and Support Services","1104","Information Sciences","110401","Information Science",2012,"2012",5,"Bachelors Degree",76,"information-science","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5007","Fine & Studio Arts","500708","Painting",2012,"2012",5,"Bachelors Degree",16,"painting","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1102","Computer Programming","110202","Specific Applications Computer Programming",2012,"2012",5,"Bachelors Degree",3,"specific-applications-computer-programming","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5208","Financial Management Services","520801","General Finance",2012,"2012",5,"Bachelors Degree",648,"general-finance","Chicago, IL","16000US1714000","chicago-il"
"42","Psychology","4228","Clinical, Counseling, & Applied Psychology","422803","Counseling Psychology",2012,"2012",5,"Bachelors Degree",70,"counseling-psychology-422803","Chicago, IL","16000US1714000","chicago-il"
"42","Psychology","4228","Clinical, Counseling, & Applied Psychology","422804","Industrial & Organizational Psychology",2012,"2012",5,"Bachelors Degree",4,"industrial-organizational-psychology","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1102","Computer Programming","110201","General Computer Programming",2012,"2012",5,"Bachelors Degree",39,"general-computer-programming","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5007","Fine & Studio Arts","500706","Multimedia",2012,"2012",5,"Bachelors Degree",12,"multimedia","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110103","Information Technology",2012,"2012",5,"Bachelors Degree",101,"information-technology","Chicago, IL","16000US1714000","chicago-il"
"42","Psychology","4299","Other Psychology Studies","429999","Other Psychology",2012,"2012",5,"Bachelors Degree",13,"other-psychology","Chicago, IL","16000US1714000","chicago-il"
"43","Protective Services","4301","Criminal Justice & Corrections","430103","Criminal Justice - Law Enforcement Administration",2012,"2012",5,"Bachelors Degree",1,"criminal-justice-law-enforcement-administration","Chicago, IL","16000US1714000","chicago-il"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110101","General Computer & Information Sciences",2012,"2012",5,"Bachelors Degree",23,"general-computer-information-sciences-110101","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5007","Fine & Studio Arts","500705","Drawing",2012,"2012",5,"Bachelors Degree",3,"drawing","Chicago, IL","16000US1714000","chicago-il"
"10","Communication Technologies","1003","Graphic Communications","100304","Animation, Interactive Technology, Video Graphics, & Special Effects",2012,"2012",5,"Bachelors Degree",62,"animation-interactive-technology-video-graphics-special-effects","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5209","Hospitality Management","520901","General Hospitality Management",2012,"2012",5,"Bachelors Degree",174,"general-hospitality-management","Chicago, IL","16000US1714000","chicago-il"
"43","Protective Services","4301","Criminal Justice & Corrections","430104","Criminal Justice - Safety Studies",2012,"2012",5,"Bachelors Degree",505,"criminal-justice-safety-studies","Chicago, IL","16000US1714000","chicago-il"
"43","Protective Services","4301","Criminal Justice & Corrections","430106","Forensic Science & Technology",2012,"2012",5,"Bachelors Degree",12,"forensic-science-technology","Chicago, IL","16000US1714000","chicago-il"
"10","Communication Technologies","1002","Audiovisual Communications Technology","100203","Recording Arts Technology",2012,"2012",5,"Bachelors Degree",100,"recording-arts-technology","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5007","Fine & Studio Arts","500703","Art History, Criticism, & Conservation",2012,"2012",5,"Bachelors Degree",83,"art-history-criticism-conservation","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090999","Other Public Relations, Advertising, & Applied Communication",2012,"2012",5,"Bachelors Degree",344,"other-public-relations-advertising-applied-communication","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5209","Hospitality Management","520905","Restaurant & Food Services Management",2012,"2012",5,"Bachelors Degree",0,"restaurant-food-services-management","Chicago, IL","16000US1714000","chicago-il"
"43","Protective Services","4301","Criminal Justice & Corrections","430116","Computer Forensics & Counterterrorism",2012,"2012",5,"Bachelors Degree",0,"computer-forensics-counterterrorism","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5210","Human Resource Management & Services","521001","General Human Resources Management & Personnel Administration",2012,"2012",5,"Bachelors Degree",33,"general-human-resources-management-personnel-administration","Chicago, IL","16000US1714000","chicago-il"
"44","Public Administration and Social Service","4400","General Human Services","440000","General Human Services",2012,"2012",5,"Bachelors Degree",9,"general-human-services-440000","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5007","Fine & Studio Arts","500702","General Fine Studio Arts",2012,"2012",5,"Bachelors Degree",554,"general-fine-studio-arts","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090908","Technical & Scientific Communication",2012,"2012",5,"Bachelors Degree",1,"technical-scientific-communication","Chicago, IL","16000US1714000","chicago-il"
"44","Public Administration and Social Service","4404","Public Administration","440401","Public Administration",2012,"2012",5,"Bachelors Degree",5,"public-administration-440401","Chicago, IL","16000US1714000","chicago-il"
"44","Public Administration and Social Service","4405","Public Work Analysis","440501","General Public Policy Analysis",2012,"2012",5,"Bachelors Degree",75,"general-public-policy-analysis","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5210","Human Resource Management & Services","521003","Organizational Behavior Studies",2012,"2012",5,"Bachelors Degree",0,"organizational-behavior-studies","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5007","Fine & Studio Arts","500701","General Art Studies",2012,"2012",5,"Bachelors Degree",41,"general-art-studies","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090903","Advertising",2012,"2012",5,"Bachelors Degree",15,"advertising","Chicago, IL","16000US1714000","chicago-il"
"44","Public Administration and Social Service","4407","Social Work","440701","Social Work",2012,"2012",5,"Bachelors Degree",156,"social-work-440701","Chicago, IL","16000US1714000","chicago-il"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090901","General Organizational Communication",2012,"2012",5,"Bachelors Degree",3,"general-organizational-communication","Chicago, IL","16000US1714000","chicago-il"
"44","Public Administration and Social Service","4499","Other Public Administration & Social Services","449999","Other Public Administration & Social Service Professions",2012,"2012",5,"Bachelors Degree",53,"other-public-administration-social-service-professions","Chicago, IL","16000US1714000","chicago-il"
